JDHEL V-C s1 V-K1 s2 C-K1 s3
Aperture: 7, Filter: rp, JD: geocentric
2458243.5344832 -1.28621 0.01108 -1.68187 0.01474 -0.39566 0.01758
2458243.5366985 -1.28810 0.01088 -1.66747 0.01474 -0.37937 0.01746
2458243.5371412 -1.26483 0.01063 -1.67749 0.01490 -0.41267 0.01743
2458243.5375810 -1.27925 0.01087 -1.67819 0.01497 -0.39893 0.01764
2458243.5384630 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2458243.5389080 -1.25932 0.01100 99.99999 9.99999 99.99999 9.99999
2458243.5393491 -1.28610 0.01113 -1.68831 0.01515 -0.40221 0.01794
2458243.5398083 -1.28847 0.01106 -1.67974 0.01459 -0.39127 0.01742
2458243.5402544 -1.27597 0.01103 -1.67789 0.01520 -0.40192 0.01791
2458243.5411477 -1.27053 0.01096 -1.66624 0.01482 -0.39571 0.01752
2458243.5420379 -1.28434 0.01291 -1.65297 0.01739 -0.36862 0.02069
2458243.5425027 -1.27616 0.01100 -1.65290 0.01463 -0.37674 0.01740
2458243.5429435 -1.27819 0.01111 -1.65700 0.01491 -0.37881 0.01771
2458243.5447052 99.99999 9.99999 99.99999 9.99999 -0.39093 0.01885
2458243.5451534 -1.26189 0.01091 -1.66904 0.01481 -0.40716 0.01751
2458243.5455938 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2458243.5473721 -1.27617 0.01121 -1.67147 0.01464 -0.39530 0.01754
2458243.5478190 -1.26189 0.01118 -1.68289 0.01564 -0.42100 0.01832
2458243.5482602 -1.27208 0.01108 -1.65638 0.01482 -0.38430 0.01761
2458243.5491442 -1.26342 0.01088 -1.66231 0.01481 -0.39889 0.01749
2458243.5495848 -1.27139 0.01089 -1.65038 0.01467 -0.37900 0.01737
2458243.5500280 -1.25569 0.01101 -1.65214 0.01497 -0.39644 0.01769
2458243.5509160 -1.26718 0.01088 -1.66872 0.01486 -0.40154 0.01753
2458243.5513557 99.99999 9.99999 99.99999 9.99999 -0.39812 0.01758
2458243.5517951 -1.27373 0.01111 -1.64732 0.01459 -0.37359 0.01745
2458243.5522347 -1.27527 0.01099 -1.55086 0.01360 -0.27559 0.01655
2458243.5531168 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
