JDHEL V-C s1 V-K1 s2 C-K1 s3
Aperture: 11, Filter: SDSS r, JD: geocentric
2458853.4838657 -0.66999 0.01217 -0.76901 0.01266 -0.09901 0.01552
2458853.4844329 -0.63795 0.01183 -0.76752 0.01286 -0.12957 0.01540
2458853.4849884 -0.64224 0.01168 -0.75779 0.01241 -0.11555 0.01502
2458853.4855440 -0.65423 0.01147 -0.75989 0.01239 -0.10566 0.01494
2458853.4860995 -0.68014 0.01169 -0.79196 0.01246 -0.11181 0.01510
2458853.4866667 -0.64621 0.01139 -0.76769 0.01241 -0.12148 0.01492
2458853.4872454 -0.67024 0.01187 -0.75228 0.01251 -0.08204 0.01527
2458853.4878009 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2458853.4883796 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2458853.4889468 -0.65324 0.01250 99.99999 9.99999 99.99999 9.99999
2458853.4944560 -0.64766 0.01101 -0.76710 0.01173 -0.11944 0.01420
2458853.4956134 -0.65710 0.01098 -0.76589 0.01169 -0.10878 0.01408
2458853.4961921 -0.63575 0.01071 -0.77586 0.01177 -0.14011 0.01415
2458853.4967824 -0.66596 0.01118 -0.76605 0.01185 -0.10009 0.01440
2458853.4973611 -0.63442 0.01076 -0.74160 0.01128 -0.10718 0.01366
2458853.4979398 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2458853.4991088 99.99999 9.99999 -0.76026 0.01166 99.99999 9.99999
2458853.4996991 -0.65933 0.01058 -0.76314 0.01136 -0.10381 0.01373
2458853.5002662 -0.65947 0.01057 -0.78283 0.01117 -0.12337 0.01358
2458853.5008565 -0.61617 0.01046 -0.76051 0.01109 -0.14434 0.01341
2458853.5014120 -0.69131 0.01102 -0.76506 0.01139 -0.07375 0.01403
2458853.5025694 -0.66399 0.01058 -0.77790 0.01137 -0.11392 0.01375
2458853.5031597 -0.64083 0.01051 -0.75848 0.01111 -0.11765 0.01348
2458853.5037269 -0.62163 0.01053 -0.73704 0.01128 -0.11541 0.01360
2458853.5042940 -0.63294 0.01084 -0.75447 0.01140 -0.12153 0.01370
2458853.5048611 -0.63199 0.01043 -0.76148 0.01098 -0.12949 0.01337
2458853.5054398 -0.64533 0.01030 -0.76256 0.01093 -0.11723 0.01324
2458853.5060069 -0.63524 0.01025 -0.76295 0.01100 -0.12771 0.01323
2458853.5065741 -0.62093 0.01013 -0.73962 0.01092 -0.11869 0.01317
2458853.5071181 -0.66011 0.01045 -0.76691 0.01082 -0.10681 0.01336
2458853.5077083 -0.61798 0.01005 -0.75913 0.01106 -0.14115 0.01318
2458853.5082755 -0.61512 0.00989 -0.78340 0.01097 -0.16828 0.01306
2458853.5088542 -0.62538 0.01009 -0.74710 0.01063 -0.12172 0.01293
2458853.5094444 -0.62902 0.01005 -0.75939 0.01076 -0.13037 0.01298
2458853.5100231 -0.62281 0.01024 -0.75025 0.01072 -0.12744 0.01306
2458853.5106019 -0.63365 0.00987 -0.73582 0.01050 -0.10218 0.01268
2458853.5111806 -0.63483 0.01015 -0.74893 0.01071 -0.11410 0.01309
2458853.5117477 -0.64925 0.01022 -0.75006 0.01071 -0.10080 0.01306
2458853.5123264 -0.63761 0.01012 -0.75143 0.01061 -0.11382 0.01294
2458853.5129167 -0.58696 0.00987 -0.71784 0.01063 -0.13088 0.01268
2458853.5134954 -0.60237 0.00985 -0.74874 0.01066 -0.14637 0.01263
2458853.5140741 -0.61221 0.00993 -0.74792 0.01062 -0.13571 0.01288
2458853.5146412 -0.60734 0.00974 -0.75130 0.01067 -0.14397 0.01271
2458853.5152199 -0.62905 0.00986 -0.74039 0.01054 -0.11134 0.01268
2458853.5157986 -0.61405 0.00982 -0.74832 0.01046 -0.13428 0.01262
2458853.5164005 -0.60114 0.00967 -0.72990 0.01037 -0.12876 0.01246
2458853.5169792 -0.62704 0.00984 -0.77644 0.01077 -0.14940 0.01295
2458853.5175579 -0.63008 0.00990 -0.73626 0.01049 -0.10619 0.01264
2458853.5181481 -0.60916 0.00965 -0.74365 0.01040 -0.13448 0.01240
2458853.5187269 -0.60373 0.00962 -0.73064 0.01046 -0.12691 0.01252
2458853.5192940 -0.61614 0.00969 -0.73948 0.01034 -0.12334 0.01244
